step,layer,m,n,q,n_sv,n_outliers,lambda_plus,sigma2_hat
5500,0.attn.c_proj.weight,1536,1536,1.0,1536,2,6.454722086588542e-09,1.6136805216471356e-09
6000,0.attn.c_proj.weight,1536,1536,1.0,1536,3,6.255967881944443e-09,1.5639919704861107e-09
6500,0.attn.c_proj.weight,1536,1536,1.0,1536,2,6.1363050672743055e-09,1.5340762668185764e-09
7000,0.attn.c_proj.weight,1536,1536,1.0,1536,4,5.538940429687501e-09,1.3847351074218752e-09
7500,0.attn.c_proj.weight,1536,1536,1.0,1536,2,5.5960252549913185e-09,1.3990063137478296e-09
8000,0.attn.c_proj.weight,1536,1536,1.0,1536,2,8.58301798502604e-09,2.14575449625651e-09
8500,0.attn.c_proj.weight,1536,1536,1.0,1536,5,5.8810085720486085e-09,1.4702521430121521e-09
9000,0.attn.c_proj.weight,1536,1536,1.0,1536,2,6.149241129557291e-09,1.5373102823893227e-09
9500,0.attn.c_proj.weight,1536,1536,1.0,1536,2,6.0704040527343726e-09,1.5176010131835931e-09
10000,0.attn.c_proj.weight,1536,1536,1.0,1536,2,6.627095540364581e-09,1.6567738850911453e-09
10500,0.attn.c_proj.weight,1536,1536,1.0,1536,2,5.751478407118054e-09,1.4378696017795134e-09
11000,0.attn.c_proj.weight,1536,1536,1.0,1536,2,6.8232727050781215e-09,1.7058181762695304e-09
11500,0.attn.c_proj.weight,1536,1536,1.0,1536,2,6.100124782986108e-09,1.525031195746527e-09
12000,0.attn.c_proj.weight,1536,1536,1.0,1536,2,5.268368191189235e-09,1.3170920477973087e-09
12500,0.attn.c_proj.weight,1536,1536,1.0,1536,2,6.830596923828122e-09,1.7076492309570305e-09
13000,0.attn.c_proj.weight,1536,1536,1.0,1536,2,5.270504421657985e-09,1.3176261054144963e-09
13500,0.attn.c_proj.weight,1536,1536,1.0,1536,2,5.807308620876732e-09,1.451827155219183e-09
14000,0.attn.c_proj.weight,1536,1536,1.0,1536,2,5.774637858072915e-09,1.4436594645182287e-09
14500,0.attn.c_proj.weight,1536,1536,1.0,1536,2,4.8824055989583345e-09,1.2206013997395836e-09
15000,0.attn.c_proj.weight,1536,1536,1.0,1536,2,4.900834825303821e-09,1.2252087063259553e-09
15500,0.attn.c_proj.weight,1536,1536,1.0,1536,2,5.5029975043402735e-09,1.3757493760850684e-09
16000,0.attn.c_proj.weight,1536,1536,1.0,1536,2,5.473344590928815e-09,1.3683361477322038e-09
16500,0.attn.c_proj.weight,1536,1536,1.0,1536,2,5.07882012261285e-09,1.2697050306532125e-09
17000,0.attn.c_proj.weight,1536,1536,1.0,1536,3,5.1519775390625e-09,1.287994384765625e-09
17500,0.attn.c_proj.weight,1536,1536,1.0,1536,2,6.820916069878469e-09,1.7052290174696172e-09
18000,0.attn.c_proj.weight,1536,1536,1.0,1536,3,5.412360297309026e-09,1.3530900743272564e-09
18500,0.attn.c_proj.weight,1536,1536,1.0,1536,2,5.6367492675781205e-09,1.4091873168945301e-09
19000,0.attn.c_proj.weight,1536,1536,1.0,1536,2,5.380537245008678e-09,1.3451343112521695e-09
19500,0.attn.c_proj.weight,1536,1536,1.0,1536,1,5.493282741970481e-09,1.3733206854926202e-09
20000,0.attn.c_proj.weight,1536,1536,1.0,1536,2,4.928232828776044e-09,1.232058207194011e-09
20500,0.attn.c_proj.weight,1536,1536,1.0,1536,1,5.134396023220487e-09,1.2835990058051218e-09
500,0.mlp.c_fc.weight,6144,1536,4.0,1536,15,1.9204406738281247e-08,2.1338229709201385e-09
1000,0.mlp.c_fc.weight,6144,1536,4.0,1536,5,1.8351440429687497e-08,2.039048936631944e-09
1500,0.mlp.c_fc.weight,6144,1536,4.0,1536,2,2.1249885559082034e-08,2.3610983954535593e-09
2000,0.mlp.c_fc.weight,6144,1536,4.0,1536,2,3.2941970825195315e-08,3.6602189805772575e-09
2500,0.mlp.c_fc.weight,6144,1536,4.0,1536,2,2.6882514953613294e-08,2.9869461059570325e-09
3000,0.mlp.c_fc.weight,6144,1536,4.0,1536,2,2.8746566772460954e-08,3.1940629747178836e-09
3500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,3.057037353515626e-08,3.396708170572918e-09
4000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.8171234130859397e-08,3.130137125651044e-09
4500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,3.065715789794924e-08,3.406350877549915e-09
5000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.920967102050782e-08,3.2455190022786467e-09
5500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.775787353515626e-08,3.0842081705729177e-09
6000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.92538070678711e-08,3.2504230075412333e-09
6500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.8582534790039074e-08,3.1758371988932303e-09
7000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.8333320617675793e-08,3.1481467352973104e-09
7500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.918952941894532e-08,3.2432810465494797e-09
8000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,3.189102172851563e-08,3.5434468587239584e-09
8500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,3.298789978027346e-08,3.6653221978081622e-09
9000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,3.072948455810547e-08,3.41438717312283e-09
9500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,3.056758880615235e-08,3.39639875623915e-09
10000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,3.1768836975097664e-08,3.5298707750108515e-09
10500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.969520568847656e-08,3.299467298719618e-09
11000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,3.361865997314452e-08,3.735406663682724e-09
11500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.9510612487792977e-08,3.2789569430881085e-09
12000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.824146270751955e-08,3.1379403008355055e-09
12500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,3.165424346923829e-08,3.5171381632486987e-09
13000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.9335823059082036e-08,3.2595358954535594e-09
13500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,3.191074371337891e-08,3.5456381903754343e-09
14000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.9707565307617198e-08,3.300840589735244e-09
14500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.915306091308594e-08,3.239228990342882e-09
15000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.934722900390626e-08,3.260803222656251e-09
15500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.9733810424804694e-08,3.3037567138671883e-09
16000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,3.0263900756835936e-08,3.3626556396484376e-09
16500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.8067054748535158e-08,3.1185616387261285e-09
17000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.984634399414063e-08,3.316260443793403e-09
17500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,3.32247543334961e-08,3.691639370388455e-09
18000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.9430809020996083e-08,3.270089891221787e-09
18500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,3.077205657958985e-08,3.419117397732205e-09
19000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.9220466613769526e-08,3.2467185126410586e-09
19500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,3.1176109313964844e-08,3.4640121459960936e-09
20000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.9398994445800774e-08,3.2665549384223082e-09
20500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,3.06851577758789e-08,3.4094619750976554e-09
500,0.mlp.c_proj.weight,1536,6144,0.25,1536,89,1.0825586318969722e-09,4.811371697319877e-10
1000,0.mlp.c_proj.weight,1536,6144,0.25,1536,79,6.940269470214844e-10,3.0845642089843753e-10
1500,0.mlp.c_proj.weight,1536,6144,0.25,1536,37,7.751035690307616e-10,3.4449047512478295e-10
2000,0.mlp.c_proj.weight,1536,6144,0.25,1536,9,1.2977147102355959e-09,5.767620934380426e-10
2500,0.mlp.c_proj.weight,1536,6144,0.25,1536,9,9.429311752319335e-10,4.190805223253038e-10
3000,0.mlp.c_proj.weight,1536,6144,0.25,1536,8,9.177994728088377e-10,4.0791087680392785e-10
3500,0.mlp.c_proj.weight,1536,6144,0.25,1536,5,9.638428688049314e-10,4.283746083577473e-10
4000,0.mlp.c_proj.weight,1536,6144,0.25,1536,5,7.814407348632809e-10,3.473069932725693e-10
4500,0.mlp.c_proj.weight,1536,6144,0.25,1536,5,8.840799331665034e-10,3.9292441474066817e-10
5000,0.mlp.c_proj.weight,1536,6144,0.25,1536,4,8.162689208984371e-10,3.6278618706597205e-10
5500,0.mlp.c_proj.weight,1536,6144,0.25,1536,4,7.181811332702637e-10,3.191916147867839e-10
6000,0.mlp.c_proj.weight,1536,6144,0.25,1536,4,7.770609855651852e-10,3.4536043802897117e-10
6500,0.mlp.c_proj.weight,1536,6144,0.25,1536,3,6.953263282775881e-10,3.09033923678928e-10
7000,0.mlp.c_proj.weight,1536,6144,0.25,1536,4,6.385731697082523e-10,2.838102976481121e-10
7500,0.mlp.c_proj.weight,1536,6144,0.25,1536,3,6.736397743225098e-10,2.993954552544488e-10
8000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,7.557296752929683e-10,3.358798556857637e-10
8500,0.mlp.c_proj.weight,1536,6144,0.25,1536,4,7.293558120727541e-10,3.2415813869900184e-10
9000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,6.44180774688721e-10,2.8630256652832044e-10
9500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,6.484246253967287e-10,2.881887223985461e-10
10000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,7.02645778656006e-10,3.122870127360027e-10
10500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,5.913591384887698e-10,2.628262837727866e-10
11000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,7.395243644714351e-10,3.286774953206378e-10
11500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,6.115269660949709e-10,2.7178976270887595e-10
12000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,5.728650093078616e-10,2.5460667080349405e-10
12500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,6.048774719238282e-10,2.688344319661459e-10
13000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,5.71084022521973e-10,2.5381512112087686e-10
13500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,5.603623390197756e-10,2.490499284532336e-10
