step,layer,m,n,q,n_sv,n_outliers,lambda_plus,sigma2_hat
1500,0.attn.c_proj.weight,1536,1536,1.0,1536,3,1.0708533393012159e-08,2.6771333482530397e-09
2000,0.attn.c_proj.weight,1536,1536,1.0,1536,2,1.429019504123264e-08,3.57254876030816e-09
2500,0.attn.c_proj.weight,1536,1536,1.0,1536,1,2.028656005859374e-08,5.071640014648435e-09
3000,0.attn.c_proj.weight,1536,1536,1.0,1536,2,1.1256968180338546e-08,2.8142420450846366e-09
3500,0.attn.c_proj.weight,1536,1536,1.0,1536,1,1.5089586046006947e-08,3.772396511501737e-09
4000,0.attn.c_proj.weight,1536,1536,1.0,1536,1,1.1979420979817709e-08,2.9948552449544273e-09
4500,0.attn.c_proj.weight,1536,1536,1.0,1536,1,1.6493852403428824e-08,4.123463100857206e-09
5000,0.attn.c_proj.weight,1536,1536,1.0,1536,2,1.0098893907335068e-08,2.524723476833767e-09
5500,0.attn.c_proj.weight,1536,1536,1.0,1536,1,1.1947987874348962e-08,2.9869969685872405e-09
6000,0.attn.c_proj.weight,1536,1536,1.0,1536,1,1.4108174641927081e-08,3.5270436604817703e-09
6500,0.attn.c_proj.weight,1536,1536,1.0,1536,1,1.1843024359809026e-08,2.9607560899522566e-09
7000,0.attn.c_proj.weight,1536,1536,1.0,1536,1,1.0714348687065975e-08,2.6785871717664938e-09
7500,0.attn.c_proj.weight,1536,1536,1.0,1536,1,7.785373263888884e-09,1.946343315972221e-09
8000,0.attn.c_proj.weight,1536,1536,1.0,1536,2,1.3638290405273435e-07,3.4095726013183586e-08
8500,0.attn.c_proj.weight,1536,1536,1.0,1536,1,9.102562798394095e-09,2.2756406995985238e-09
9000,0.attn.c_proj.weight,1536,1536,1.0,1536,1,1.2929399278428823e-08,3.2323498196072058e-09
9500,0.attn.c_proj.weight,1536,1536,1.0,1536,1,8.076409233940966e-09,2.0191023084852416e-09
10000,0.attn.c_proj.weight,1536,1536,1.0,1536,1,1.2668728298611116e-08,3.167182074652779e-09
10500,0.attn.c_proj.weight,1536,1536,1.0,1536,1,9.123246934678815e-09,2.280811733669704e-09
11000,0.attn.c_proj.weight,1536,1536,1.0,1536,1,9.943016899956595e-09,2.4857542249891488e-09
11500,0.attn.c_proj.weight,1536,1536,1.0,1536,1,1.2343105740017368e-08,3.085776435004342e-09
12000,0.attn.c_proj.weight,1536,1536,1.0,1536,1,9.144643147786456e-09,2.286160786946614e-09
12500,0.attn.c_proj.weight,1536,1536,1.0,1536,1,1.2373233371310763e-08,3.093308342827691e-09
13000,0.attn.c_proj.weight,1536,1536,1.0,1536,1,8.738810221354163e-09,2.1847025553385406e-09
13500,0.attn.c_proj.weight,1536,1536,1.0,1536,1,8.47040812174479e-09,2.1176020304361975e-09
14000,0.attn.c_proj.weight,1536,1536,1.0,1536,1,1.1090189615885416e-08,2.772547403971354e-09
14500,0.attn.c_proj.weight,1536,1536,1.0,1536,1,7.679850260416667e-09,1.9199625651041667e-09
15000,0.attn.c_proj.weight,1536,1536,1.0,1536,1,9.198557535807294e-09,2.2996393839518234e-09
15500,0.attn.c_proj.weight,1536,1536,1.0,1536,1,6.387973361545139e-09,1.5969933403862847e-09
16000,0.attn.c_proj.weight,1536,1536,1.0,1536,1,9.354824490017358e-09,2.3387061225043395e-09
16500,0.attn.c_proj.weight,1536,1536,1.0,1536,1,9.007619222005204e-09,2.251904805501301e-09
17000,0.attn.c_proj.weight,1536,1536,1.0,1536,1,8.536139594184025e-09,2.134034898546006e-09
17500,0.attn.c_proj.weight,1536,1536,1.0,1536,1,1.1750674777560762e-08,2.9376686943901904e-09
18000,0.attn.c_proj.weight,1536,1536,1.0,1536,1,7.181972927517358e-09,1.7954932318793396e-09
18500,0.attn.c_proj.weight,1536,1536,1.0,1536,1,6.7398579915364564e-09,1.6849644978841141e-09
19000,0.attn.c_proj.weight,1536,1536,1.0,1536,1,8.697408040364585e-09,2.1743520100911463e-09
19500,0.attn.c_proj.weight,1536,1536,1.0,1536,1,9.164564344618056e-09,2.291141086154514e-09
20000,0.attn.c_proj.weight,1536,1536,1.0,1536,1,1.0519833034939238e-08,2.6299582587348095e-09
20500,0.attn.c_proj.weight,1536,1536,1.0,1536,1,9.662289089626735e-09,2.415572272406684e-09
21000,0.attn.c_proj.weight,1536,1536,1.0,1536,1,8.050113254123262e-09,2.0125283135308155e-09
21500,0.attn.c_proj.weight,1536,1536,1.0,1536,1,7.88665771484375e-09,1.9716644287109373e-09
22000,0.attn.c_proj.weight,1536,1536,1.0,1536,1,5.848982069227429e-09,1.4622455173068572e-09
22500,0.attn.c_proj.weight,1536,1536,1.0,1536,1,7.078976101345486e-09,1.7697440253363715e-09
23000,0.attn.c_proj.weight,1536,1536,1.0,1536,1,8.30927530924479e-09,2.0773188273111977e-09
23500,0.attn.c_proj.weight,1536,1536,1.0,1536,1,6.068488226996528e-09,1.517122056749132e-09
24000,0.attn.c_proj.weight,1536,1536,1.0,1536,1,6.147155761718746e-09,1.5367889404296865e-09
24500,0.attn.c_proj.weight,1536,1536,1.0,1536,1,7.92716132269965e-09,1.9817903306749124e-09
500,0.mlp.c_fc.weight,6144,1536,4.0,1536,8,3.0415458679199204e-08,3.3794954087999117e-09
1000,0.mlp.c_fc.weight,6144,1536,4.0,1536,2,2.34731674194336e-08,2.6081297132704e-09
1500,0.mlp.c_fc.weight,6144,1536,4.0,1536,2,2.7349243164062517e-08,3.0388047960069462e-09
2000,0.mlp.c_fc.weight,6144,1536,4.0,1536,2,3.781684875488282e-08,4.201872083875869e-09
2500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,4.475780487060547e-08,4.9730894300672746e-09
3000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.6670227050781253e-08,2.963358561197917e-09
3500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,3.528007507324219e-08,3.920008341471354e-09
4000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.862602233886719e-08,3.180669148763021e-09
4500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,3.742359161376954e-08,4.158176845974393e-09
5000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.5299987792968757e-08,2.8111097547743063e-09
5500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.543262481689453e-08,2.82584720187717e-09
6000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.999538421630859e-08,3.3328204684787324e-09
6500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.5206909179687488e-08,2.800767686631943e-09
7000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.4891471862792967e-08,2.7657190958658853e-09
7500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,1.8883285522460933e-08,2.0981428358289924e-09
8000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.7971359252929693e-07,3.107928805881077e-08
8500,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.1825904846191402e-08,2.4251005384657112e-09
9000,0.mlp.c_fc.weight,6144,1536,4.0,1536,1,2.7316017150878902e-08,3.0351130167643222e-09
